ID,AGE,INCOME,SEX,MARRIED,FICO,OWNHOME
19790885,35,72,F,1,661,0
19995980,50,60,M,1,651,0
020**6666,37,40,M,0,606,1
20315225,38,56,M,0,730,1
20622097,63,31,F,1,713,0
20832361,51,31,F,1,654,1
21202607,42,61,M,0,682,0
21247938,41,33,F,1,687,0
21488595,47,56,M,1,727,0
21533329,27,24,F,0,665,1
21883306,48,44,F,1,703,0
21895762,41,75,M,1,677,1
21937623,63,39,M,1,692,0
22044272,33,61,M,0,674,0
22461608,41,39,M,0,685,1
22959609,41,26,M,1,705,0
23189039,45,73,M,1,730,0
23295974,44,68,F,0,687,0
23454225,44,48,F,0,686,0
23500053,46,72,M,1,658,0
23530294,28,32,F,0,653,0
23702441,40,59,M,0,689,1
23757777,68,18,M,1,625,0
23768258,48,44,F,1,686,1
24224563,40,56,M,1,686,1
24532549,61,28,F,1,717,0
24647732,61,38,F,1,680,1
25036899,45,75,M,1,673,1
25116528,44,47,F,1,722,0
25205053,,,,,712,
25373277,43,46,F,1,722,1
25882489,30,31,F,0,726,0
25901717,28,38,F,0,741,0
26180205,53,69,M,0,710,0
26574893,48,32,M,1,695,1
26837986,37,59,M,1,737,0
27260603,42,37,M,1,655,1
27889108,35,48,M,0,685,0
28224454,33,65,M,0,683,0
28327898,55,62,M,1,687,0
28336934,38,63,M,0,710,1
28795106,58,56,M,1,694,0
29454511,37,62,M,0,710,1
29806980,45,20,M,1,748,0
30400132,63,50,M,1,646,0
30416139,35,30,M,0,677,0
30625197,38,53,M,0,715,0
30840721,44,36,F,1,688,0
30998215,23,73,F,0,731,1
31033827,52,46,F,1,694,0
31054753,47,60,M,0,734,0
31105883,55,29,F,0,689,1
31175605,48,59,M,1,713,1
31342992,48,17,F,1,709,0
31435387,38,62,M,0,703,1
31494933,45,54,M,0,693,0
31901606,38,46,F,0,658,1
32138533,59,38,F,1,761,0
32216168,31,37,F,0,706,0
32225009,47,44,F,1,727,0
32376744,30,74,M,0,669,0
32414802,44,66,M,1,691,1
32455554,53,46,M,1,681,0
33159854,36,53,F,0,670,1
33523177,46,66,M,1,692,0
33585392,39,26,M,0,672,0
33854697,47,20,F,1,659,0
33932842,38,50,M,0,693,0
34404913,47,64,M,1,682,0
34594527,38,70,M,1,639,1
34901232,40,62,M,0,725,1
35578569,42,43,M,1,722,0
35584043,44,38,F,1,745,0
35936254,43,59,M,0,673,1
36186738,45,58,M,1,693,1
36380323,32,56,F,0,699,0
36417952,42,45,F,0,695,0
36751031,49,35,F,1,664,0
36876979,45,41,F,1,686,0
36982990,61,62,M,0,657,1
37202244,46,38,F,1,720,0
37245419,44,57,M,1,705,1
37316876,53,45,F,1,692,0
37743977,34,56,M,0,679,1
38241301,43,62,M,0,648,0
38724777,44,59,M,1,693,1
38873105,46,63,M,1,669,0
39757499,50,80,M,1,730,0
39962063,43,52,M,1,660,0
40016948,50,34,M,1,695,0
40078548,38,18,M,0,729,0
40297159,51,40,M,0,710,1
40306704,35,60,F,0,678,1
40406660,27,56,M,0,654,1
40702286,39,77,M,1,690,0
40909121,29,68,M,1,760,1
41069417,34,18,M,0,680,0
41221965,34,74,M,0,735,0
41544962,38,61,F,0,692,0
41641285,58,67,F,1,725,0
41761819,38,73,F,0,674,0
41916203,,,,,717,
42137411,42,58,F,1,694,1
42215269,51,39,F,0,678,0
42363013,41,56,M,1,764,0
42391432,50,38,F,1,731,0
42651453,51,69,F,0,710,1
42733372,53,29,F,1,674,0
43220937,44,51,M,1,654,0
43346444,43,58,F,1,694,0
43363634,20,59,M,0,677,1
43437893,50,55,M,1,656,1
43459022,40,47,F,1,718,0
43656403,42,69,M,1,701,0
44174987,41,73,M,1,718,0
44454662,36,72,F,0,746,0
44538731,48,37,F,0,656,0
44606533,40,53,F,1,716,0
44657636,55,32,F,0,692,0
45050296,50,35,F,1,742,1
45152445,57,37,M,1,612,0
45192115,56,43,F,1,718,1
45377015,54,32,F,1,699,0
45575393,56,51,M,1,712,0
45922606,56,18,M,1,735,0
46115955,47,35,F,1,693,0
46454650,27,17,F,0,698,1
46457843,45,45,F,1,694,1
46507914,54,33,F,1,656,1
46532721,35,57,M,0,706,1
46703519,34,46,M,0,704,0
46731135,48,52,M,0,690,1
46792417,57,62,F,1,715,1
46872886,61,64,M,0,645,0
46923077,48,57,M,1,644,1
47042608,37,59,M,0,635,1
47237513,45,37,M,1,693,1
47410168,45,35,F,1,689,0
47603001,54,59,M,0,698,1
47604514,46,53,M,1,732,1
47943461,,,,,691,
48791900,39,52,F,0,737,0
49104731,53,15,M,1,690,1
49163937,45,53,F,0,730,0
49187534,38,75,M,0,703,1
49277748,41,62,F,0,763,1
49576303,20,27,M,0,697,0
49779513,49,34,M,1,692,0
49988195,25,50,F,0,718,0
50278196,54,70,F,1,632,0
50345371,38,26,M,0,674,1
50378392,47,63,M,1,704,1
50394279,44,61,M,1,681,0
50437923,47,68,F,1,750,1
50776989,33,32,M,1,710,0
50789152,,,,,710,
50818956,52,38,F,1,655,0
50955961,40,59,M,1,729,1
50970261,50,44,M,0,692,1
50977984,35,36,M,1,689,1
51168156,50,29,F,1,705,0
51357118,47,43,F,1,701,0
51538577,39,80,F,1,676,0
51604543,46,20,F,1,717,0
51891582,39,53,M,0,707,0
51947002,49,21,M,1,717,0
51951591,57,49,F,0,709,1
52034466,47,31,F,1,744,0
52357486,36,50,F,1,686,0
52399453,42,68,F,1,721,0
52472394,30,17,M,0,706,0
52529238,59,46,M,1,711,0
52579717,49,39,F,1,683,0
52627395,44,65,M,1,700,0
52872229,26,73,F,1,727,0
52910385,57,41,F,0,689,0
52948112,36,75,F,0,738,1
52994915,48,53,M,1,684,0
53145558,46,44,F,1,725,0
53167957,53,68,F,1,686,1
53171641,37,52,M,1,677,1
53248676,46,24,F,1,709,1
53286597,43,74,F,1,680,0
53333600,44,32,F,1,671,0
53590665,45,18,M,0,715,0
54054615,39,24,F,0,685,0
54130866,47,61,M,1,701,0
54219816,31,44,M,0,708,1
54240137,22,52,M,0,709,0
54549524,44,22,F,1,680,0
54698704,42,67,F,1,668,0
54713308,45,56,M,1,680,0
55023495,69,72,M,1,650,0
55033235,52,54,F,1,679,1
55074114,46,57,M,1,708,1
55380536,44,59,M,0,754,0
55546472,51,39,F,1,685,0
56364287,53,63,F,1,670,0
56676524,42,71,F,1,695,0
56729081,41,60,M,0,672,1
56846014,59,46,F,1,684,0
57035306,44,29,M,0,730,1
57298177,64,53,F,1,678,1
57403951,33,36,M,0,736,0
57446430,29,38,F,0,687,1
57767206,42,53,M,1,702,0
58172150,59,46,F,1,674,1
58330155,49,53,M,0,657,0
58626911,58,67,F,0,662,0
58665157,30,74,M,0,635,0
59075292,61,69,M,1,657,1
59082903,49,71,M,1,726,1
59278354,46,68,M,1,674,0
59300005,42,49,F,1,687,1
59544222,41,63,F,1,723,1
59672937,71,64,M,1,684,0
59982627,57,33,M,1,634,0
60071499,41,42,F,1,720,1
60170375,50,59,F,1,672,1
60257985,52,48,M,1,733,0
60578957,35,70,M,0,706,1
60621420,44,34,M,1,707,1
60918299,40,20,F,0,704,0
60931658,51,33,M,0,706,0
60973820,44,56,F,1,679,0
61142212,,,,,614,
61912846,41,67,M,1,668,0
62113295,36,45,M,0,776,0
62302565,34,68,M,0,706,0
62611316,35,56,M,0,716,0
62703114,49,61,M,0,690,1
62749014,50,18,M,1,739,0
62784915,31,54,M,0,738,0
63003109,,,,,688,
63142477,47,79,F,0,705,0
63293972,43,67,M,1,698,1
63398080,34,39,F,0,683,0
63412328,45,59,M,1,667,0
63509044,53,42,F,0,708,0
63560087,36,22,M,0,666,1
63608116,33,35,M,0,601,0
64088900,57,50,M,1,702,1
64454134,37,48,M,0,681,0
64666881,44,32,F,1,708,0
65046764,35,71,F,0,686,1
65854552,31,72,F,1,681,0
66139609,52,51,M,0,708,0
66223798,53,73,M,0,713,0
66238988,54,49,M,1,666,0
66515375,54,37,F,1,703,0
66584951,53,34,F,0,686,0
67300149,34,70,F,0,682,0
67559772,38,42,M,0,717,1
67932199,50,30,M,1,616,0
67986724,38,79,F,1,746,0
68015594,42,36,F,0,713,0
68018472,69,31,F,1,693,0
68411902,40,68,M,1,720,0
68620365,45,38,F,1,716,0
68721203,44,52,M,1,715,0
69383231,37,57,M,0,711,0
69924796,56,57,M,1,684,0
70383346,32,34,F,0,704,1
70399914,39,19,M,0,663,0
70402770,33,30,F,0,732,0
70695340,18,24,M,1,765,0
70822687,45,32,F,1,687,0
70909880,45,35,F,0,695,0
70949685,57,57,M,1,668,1
71166571,33,63,M,0,673,1
71303460,31,49,F,0,721,1
71654868,45,58,M,1,698,0
71696840,48,65,F,0,691,0
71839394,52,18,F,1,675,0
71880625,52,53,M,1,663,1
72132883,40,46,M,1,704,1
72678883,42,77,M,0,671,0
73182046,41,33,F,0,742,1
73975671,45,58,M,1,732,0
74093055,64,72,M,1,665,0
74113780,49,26,F,1,693,1
74318443,37,63,M,0,700,1
74434735,41,19,F,1,716,0
74957541,41,19,M,1,707,0
75459208,45,61,M,0,735,1
75953166,42,56,M,1,655,0
76087902,47,67,F,1,686,0
76203705,33,54,M,0,703,0
76332736,40,67,M,1,728,0
76381937,53,73,F,1,640,0
76938624,45,33,F,1,685,0
76973833,34,35,F,0,679,0
77137641,,,,,711,
77204030,40,40,M,1,700,1
77278800,55,52,M,0,759,0
77361312,40,50,M,0,667,0
77613645,34,65,M,0,694,0
77813846,52,56,M,1,691,0
77929104,38,36,F,0,665,0
77995961,54,55,M,0,666,0
78692933,31,75,F,0,718,0
78954339,48,67,M,1,713,0
79169449,37,24,F,0,648,0
79208590,37,63,F,0,685,1
79230692,53,65,F,1,691,1
79356512,45,61,F,1,678,0
79518697,61,19,F,0,661,1
79552646,35,51,F,0,719,1
79615080,48,50,M,1,700,0
79777325,38,58,M,0,703,1
79849045,58,53,F,1,665,0
80137012,32,40,M,0,667,0
80465075,,,,,671,
80693478,52,53,F,1,713,0
80753552,68,63,M,1,643,0
80876033,38,72,M,0,746,0
80890319,41,21,F,1,680,1
80938610,46,57,M,1,711,0
80981750,39,51,M,0,712,0
81048028,55,59,M,1,652,0
81235737,65,31,F,1,666,0
81472470,36,59,M,0,733,1
81481593,45,40,F,1,649,0
81501336,51,64,M,0,668,1
81919733,52,116,F,1,762,0
82029306,37,50,M,0,654,0
82165672,39,40,M,0,687,0
82210065,44,62,M,1,723,0
82278685,51,68,M,0,672,1
82308146,53,69,F,0,699,0
82337080,35,33,F,0,672,0
82556924,55,41,M,0,732,1
82709103,48,31,F,0,683,1
83093549,,,,,720,
83234653,43,65,F,1,697,0
83263468,44,51,M,1,675,0
84090768,57,66,F,1,708,1
85008209,26,32,F,1,735,1
85124383,49,59,F,0,,1
85150879,35,39,M,0,688,0
85177859,54,48,M,1,630,0
85498567,22,69,M,0,627,0
85586782,41,67,M,0,724,1
85946055,46,49,F,1,712,0
86082352,47,65,F,1,718,0
86492514,30,44,M,0,693,0
86569083,20,57,M,0,702,0
86692378,41,53,M,1,635,0
87651148,51,30,M,1,639,1
87712003,33,57,F,0,704,0
88177734,25,31,F,0,665,0
88616537,39,23,F,0,707,0
89081767,39,63,M,0,736,1
89590930,48,29,F,1,694,0
89653607,41,68,M,1,695,1
89808019,36,33,F,0,710,0
89857836,42,66,M,1,764,0
89930071,46,57,M,1,707,1
90102921,54,75,M,0,682,0
90358045,51,64,F,1,668,0
90583480,37,54,F,0,696,0
90642621,37,45,F,0,665,1
90951689,44,16,F,1,663,1
90989553,37,32,M,0,698,0
91373135,50,32,F,1,679,0
91921847,46,42,F,1,692,1
92021985,44,27,F,1,686,1
92031675,70,46,M,1,682,1
92137389,36,22,F,0,737,0
92372398,54,38,F,0,676,1
92648834,35,47,F,1,669,0
92768717,57,30,M,0,702,0
93574643,47,32,M,1,680,0
93975256,50,45,M,1,705,0
94009137,46,47,M,1,731,0
94168162,69,61,M,1,696,0
94409575,55,60,M,1,733,1
94579228,44,29,M,1,652,0
95022134,,,,,656,
95073681,39,48,M,0,695,0
95133652,40,66,M,1,666,0
95448938,41,46,F,0,709,0
96013418,56,58,F,1,718,1
96464544,62,43,F,1,673,0
96634340,42,53,M,1,667,0
96784409,37,56,M,0,721,0
97336708,45,53,M,1,738,0
97712329,37,39,M,0,687,0
97741106,39,54,M,0,693,0
97783782,44,35,F,1,723,0
97801488,52,49,M,1,630,0
98033602,29,54,F,0,709,0
98071023,35,60,M,0,660,0
98135490,66,31,F,0,729,0
98161030,35,67,F,1,694,1
98322618,44,69,F,1,655,0
98457134,,,,,700,
98548387,53,69,M,0,689,0
98595037,52,59,M,1,657,1
98753672,49,60,M,1,726,1
99079753,71,17,F,1,704,0
99152416,50,70,M,1,696,0
99339458,49,53,F,1,675,0
99383430,22,20,F,0,668,0
99841131,50,17,M,1,717,0
100107557,42,19,F,1,744,0
100115636,62,19,F,0,656,1
100305277,47,43,M,1,691,0
100415298,58,45,F,1,669,1
100430775,28,68,M,1,670,0
100743229,44,27,F,1,673,1
100946888,35,58,M,0,748,1
101368064,63,37,F,1,725,0
101581197,51,37,F,0,673,1
101719261,42,35,M,1,777,0
101783465,49,57,M,1,728,1
101891958,59,19,M,0,698,0
102480647,57,57,F,1,702,1
102481228,49,57,M,1,678,0
102530472,44,66,M,0,694,0
102553102,48,40,M,1,654,0
102587761,44,49,M,0,665,0
102757531,23,33,F,1,769,0
103254295,,,,,689,
103883756,51,42,F,1,696,1
103908057,54,69,F,1,693,0
103949269,54,66,F,1,666,0
104239064,35,78,M,0,704,1
104397195,51,65,F,1,684,0
104433198,46,29,F,0,714,0
104687261,,,,,659,
104742514,28,22,F,0,670,1
104761538,38,18,M,0,711,0
105097291,62,70,M,1,737,0
105132124,29,49,M,0,675,0
105152759,39,55,F,0,712,0
105288625,19,39,F,0,707,0
105324174,46,48,M,1,629,0
105542433,48,71,F,1,701,0
105848162,30,58,M,0,613,0
105936997,64,57,M,1,662,0
106281118,34,64,M,1,631,1
106584056,41,27,F,1,724,0
106603065,42,44,F,1,684,1
106693166,37,52,M,0,643,0
106811770,36,52,F,0,715,0
106948414,61,64,M,1,704,0
106972399,51,40,F,0,680,0
1.07E+10,46,69,M,1,692,0
106982966,46,39,M,1,681,0
107156773,58,34,F,1,667,0
107589232,47,45,M,1,659,0
107594022,39,45,F,0,684,0
107830295,47,62,M,1,673,1
108055664,58,47,M,1,710,1
108155705,22,50,M,0,667,0
108692644,52,52,F,1,686,0
108738602,36,20,F,0,633,0
109171519,34,43,F,0,719,0
109262970,45,71,M,1,697,0
109487171,58,18,F,1,633,0
109491315,71,32,F,1,667,0
109886316,64,34,F,1,699,0
109941770,55,56,M,1,657,1
110414432,38,66,M,0,712,0
110428287,42,67,F,1,696,0
110532891,41,56,M,0,753,1
110602567,41,51,F,1,666,0
110635173,32,61,F,1,728,1
110921700,25,54,F,0,700,0
111399462,22,19,M,0,662,0
111417566,44,85,M,1,716,1
111548216,52,60,F,1,654,0
111578699,46,79,F,1,757,0
111786800,49,24,F,1,681,0
111819693,56,35,M,1,688,1
111860940,52,20,M,1,699,0
112326443,38,24,M,0,674,0
112326570,40,35,M,0,708,0
112412993,38,24,F,0,705,1
112546534,47,28,F,1,670,1
112576581,42,26,F,1,731,0
112753440,46,42,F,1,710,0
113025516,45,33,M,1,670,0
113772690,44,38,F,0,646,1
114054122,66,64,M,1,710,0
114198183,32,21,F,1,772,1
114338209,46,59,M,0,709,0
114632621,75,61,M,1,685,0
114758586,56,37,M,1,702,1
114929386,43,27,M,1,624,0
114944015,48,72,M,1,687,0
114980718,73,18,M,1,640,1
115772471,22,76,F,0,732,0
116095209,45,38,M,1,711,1
116303854,34,21,F,0,709,0
116768307,55,56,M,0,600,1
116782240,23,26,F,0,721,0
117072263,41,56,M,1,694,0
117206153,57,49,F,1,652,0
117207125,55,33,M,1,642,1
117582754,50,40,F,1,725,0
117770375,40,63,M,1,722,0
117962126,49,22,M,1,676,0
118057846,45,63,M,1,705,1
118141102,36,51,M,0,694,0
118456722,40,49,F,0,710,1
118466958,43,53,M,1,685,0
118693101,68,60,F,0,683,0
119033102,40,56,M,0,719,1
119284573,26,55,M,1,711,1
119536395,48,56,M,0,710,0
119612526,51,65,M,1,694,0
119677436,74,47,M,1,621,0
119879917,36,33,M,0,690,0
119946726,45,58,M,1,690,1
119979567,40,26,F,1,699,0
120077739,31,38,F,0,730,0
120345588,65,25,M,0,688,0
120426666,50,62,M,1,676,1
120512933,,,,,704,
120803109,39,48,M,0,722,0
121588161,37,52,M,0,667,1
122018128,34,71,F,1,722,0
122047816,39,69,M,0,741,0
122182794,29,70,M,1,708,1
122197157,46,61,M,0,685,1
122393190,44,56,F,1,703,0
122470409,40,41,M,1,666,0
122513098,,,,,732,
122649435,50,64,M,1,699,0
123016333,49,50,F,0,708,1
123131776,59,56,F,0,718,0
123257731,62,48,F,0,676,1
123329169,23,75,F,0,679,1
123651868,40,51,M,1,650,0
124042634,49,67,M,1,654,1
124820961,29,21,F,1,701,1
125160859,60,41,M,1,704,0
125432580,44,67,M,1,685,0
125688168,38,71,M,0,705,0
125725758,52,40,F,0,658,0
125832984,44,30,M,1,710,0
126249543,54,32,F,0,671,1
126361911,58,62,M,1,726,0
126421692,43,51,M,0,649,0
126455959,32,59,F,0,761,1
126577560,72,22,M,1,661,1
127393096,60,17,F,1,707,0
127476811,20,37,F,1,625,0
127756338,38,30,F,0,702,0
127870309,45,44,F,1,707,1
127889307,37,19,M,0,689,0
128214124,44,58,M,0,666,1
129257992,39,60,M,0,710,1
129813906,30,51,M,0,655,0
130054281,70,17,F,1,692,1
130117855,43,33,F,0,684,0
130324340,,,,,711,
130670774,,,,,669,
130823449,27,55,M,1,717,0
131111312,44,31,M,1,711,0
131268362,47,58,M,1,684,0
131453481,38,33,F,0,715,0
131970870,60,31,F,0,669,0
131976640,55,39,M,0,674,1
132037518,34,30,M,1,689,0
132572157,57,18,M,1,694,0
132821389,54,69,M,1,716,1
132842711,49,63,F,1,670,0
132965897,29,57,M,0,621,0
133033629,40,43,M,1,702,0
133037262,67,30,F,0,705,0
133224575,55,40,F,0,681,1
133345249,39,35,M,0,745,1
133666399,37,59,M,0,638,0
133853610,29,20,F,0,670,0
134027199,50,18,F,0,684,1
134196728,48,51,F,0,676,0
134383352,44,48,F,1,694,0
134837399,37,49,M,0,684,1
134944756,51,41,F,1,625,0
135108032,41,18,F,0,676,0
135216739,45,65,M,1,681,1
135435833,35,47,M,1,715,1
135904209,38,73,M,0,658,0
136377017,54,31,M,1,652,0
136664391,48,53,M,1,700,0
136792295,41,38,F,0,709,0
136842271,28,53,M,0,675,0
137041077,51,46,M,1,724,0
137199538,68,45,F,1,738,0
137298181,51,47,F,1,693,0
137325244,44,16,F,1,695,0
137442593,44,26,M,1,693,0
137765765,53,65,M,1,727,0
138158771,46,71,M,1,699,0
138338116,23,70,M,0,715,1
138529300,28,67,M,0,678,1
138666705,44,55,F,1,645,1
138773362,38,60,M,0,677,1
138960954,52,58,M,1,665,1
139082653,39,40,F,0,718,0
139084602,,,,,643,
139152020,53,65,F,1,640,0
139153193,35,25,F,1,689,0
139175251,59,37,M,1,714,1
139457642,52,36,M,1,693,0
139525586,51,55,M,1,697,0
139629486,46,69,M,1,730,0
139837122,43,59,F,1,696,0
140324741,32,25,M,0,619,0
140808603,,,,,679,
141298668,41,69,M,0,693,0
141303367,35,37,M,0,675,0
141614326,45,38,F,1,736,1
141702207,45,46,F,0,703,0
141770708,54,63,F,1,701,0
141924207,22,23,F,0,703,0
142277303,42,29,M,1,728,1
142346518,46,37,M,0,677,1
142377843,63,39,M,0,620,1
142746656,39,36,M,0,715,0
143122628,19,37,F,0,688,0
143341577,41,35,F,0,736,0
143396772,45,41,F,1,723,0
143416670,32,72,F,1,659,0
144140163,43,24,M,1,662,0
144282402,,,,,712,
144626465,31,50,F,0,710,0
144756182,75,33,M,1,681,0
144839580,42,17,M,1,669,0
145066785,49,45,M,1,705,0
145085796,19,21,M,1,622,0
145286200,40,37,M,1,700,1
145542067,60,72,F,1,623,0
145629804,65,70,M,1,678,0
145657396,53,45,M,1,688,0
145702064,57,77,M,1,724,0
146726458,43,48,M,1,710,0
146802183,29,48,M,0,692,0
146936137,29,52,M,0,700,0
147**4147,73,79,M,1,694,0
147570993,43,63,M,0,663,0
147583267,32,66,M,0,721,0
147679609,44,69,F,1,687,1
148202583,61,33,F,1,716,1
148290735,57,66,M,1,712,0
148375959,50,65,M,1,725,0
148723924,32,68,M,0,712,1
149140700,45,24,F,0,668,1
149922821,61,56,F,1,703,1
149927005,50,31,F,1,650,1
150057589,39,35,F,1,704,0
150099300,38,54,M,1,723,1
150424460,38,50,F,0,630,0
150554687,47,80,M,1,724,1
150929320,50,42,M,0,674,1
151160846,47,48,F,0,696,0
151429727,46,17,F,1,699,0
151560620,41,23,M,1,729,0
151717314,44,59,M,1,712,1
151911952,35,24,F,1,636,0
152021796,48,45,F,1,640,0
152034653,56,20,M,1,705,0
152233315,19,22,M,1,646,0
152420200,47,61,M,1,718,0
152569500,41,73,F,1,694,0
152982671,43,33,M,1,659,0
153129401,50,60,F,1,728,1
153181455,41,53,M,1,668,0
153722749,39,64,F,0,663,0
153764879,42,24,F,1,645,1
153861031,41,54,F,0,732,0
153979522,42,61,F,1,683,1
154057904,53,18,F,0,695,0
154222693,55,57,M,1,692,1
154345306,38,23,F,0,726,0
154477137,52,28,F,1,690,1
154583198,32,48,M,0,702,0
154716346,62,64,M,1,667,0
154817850,43,69,M,0,644,1
154997378,44,18,M,1,672,0
155246524,49,63,M,1,728,1
155768837,56,52,F,0,690,0
155824964,56,65,M,1,667,1
155845734,55,43,M,1,690,0
155869216,50,59,F,1,726,1
156273934,41,56,M,1,668,0
157050081,20,50,M,0,688,0
157373642,53,65,M,0,730,0
157384855,42,50,F,1,700,1
157435731,40,49,F,1,729,0
158257821,40,61,F,0,698,0
158383464,34,43,F,1,686,1
158430288,41,19,M,1,698,0
158442809,,,,,709,
158765328,41,56,F,1,641,1
158801972,57,59,M,1,631,0
158985645,49,52,F,1,712,0
159245825,33,32,M,0,700,0
159560095,31,21,M,1,700,1
159564425,56,66,F,1,646,0
159586947,37,75,M,0,636,0
160280029,38,58,M,0,659,0
161230602,48,34,F,1,690,0
161324389,49,33,F,1,675,0
161343698,68,60,F,1,706,0
161367599,30,63,M,0,701,1
161410058,43,60,M,1,652,0
161591181,69,40,M,1,759,0
161664363,42,71,M,1,657,1
161928491,36,33,F,0,692,1
162481434,66,47,F,1,707,0
162634779,53,33,F,1,744,0
162704550,70,68,M,1,711,0
162771294,37,50,M,0,664,0
162894134,32,63,M,0,663,1
163531440,45,27,F,1,718,0
163652695,40,69,F,0,706,0
163827867,37,70,M,0,631,0
164133920,37,61,M,0,689,1
164140154,46,59,M,1,681,0
164296225,38,19,F,1,664,0
164370059,30,40,F,0,703,1
164555625,72,59,M,0,771,0
164606543,39,62,M,0,688,0
164639561,49,29,F,1,685,0
164732506,34,61,M,0,689,0
165014048,56,37,M,1,747,0
165059204,48,78,F,1,641,0
165073522,40,24,M,1,729,0
165410880,41,69,M,1,657,1
165687995,46,37,F,1,739,1
165716642,41,48,F,0,678,1
165826140,39,56,F,0,692,0
166027598,33,31,M,0,681,0
166094735,35,26,M,0,695,0
166150675,36,64,M,0,699,0
166204202,32,43,F,0,778,0
166253563,38,57,M,1,715,0
166304526,52,56,F,0,661,1
166612789,50,21,F,1,698,0
166699279,39,38,F,0,722,0
166958137,48,47,F,0,669,0
167002891,55,65,M,1,693,1
167127082,47,44,F,1,671,0
167165426,54,49,F,1,689,0
167192115,44,54,M,1,682,0
167413292,52,41,F,1,699,0
168000322,35,51,M,0,690,0
168036272,34,69,M,1,682,0
168080600,37,58,M,0,711,0
168131194,25,56,F,0,652,0
168177391,38,82,M,0,694,0
168208330,41,19,F,0,662,0
168489094,26,16,M,1,755,0
168526576,68,18,F,0,712,1
169324438,38,21,M,1,681,0
169339859,46,74,M,0,720,0
169502986,39,63,F,0,716,0
169695393,37,54,F,0,723,0
169739603,38,30,F,0,680,0
169831336,44,61,M,1,707,1
169934281,56,59,M,1,670,0
170205853,49,63,F,1,714,1
170313352,31,20,F,0,704,0
170429418,40,38,M,1,696,0
170984198,53,58,M,1,670,1
171108770,,,,,668,
171133669,50,59,M,1,668,1
171497187,31,31,F,1,698,0
171720130,50,61,M,0,709,1
171830992,55,68,M,1,708,1
171984441,,,,,641,
172298750,42,62,M,1,712,1
172309662,60,55,F,1,649,0
172464980,35,19,M,0,713,0
172769064,,,,,711,
172901727,43,49,M,1,698,0
172960280,45,77,F,1,720,0
173304508,31,65,M,0,721,1
174201850,51,43,F,0,684,0
174383482,50,59,F,0,724,1
174567598,41,32,M,0,704,0
175126358,49,38,M,1,688,0
175195131,42,35,M,1,745,0
175374075,61,70,F,1,675,0
175585802,44,53,M,0,720,0
175628328,56,40,M,1,695,1
175987354,41,20,F,1,679,0
176236521,30,54,M,0,723,0
176272071,43,22,M,1,669,0
